t,gt_x,gt_y,gt_yaw,slam_x,slam_y,slam_yaw
33.5,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113179054e-09,2.68086581303331e-20,6.10397160910851e-12
33.6,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113179304e-09,2.680865813033458e-20,6.103971606531855e-12
33.7,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113179443e-09,2.680865813033545e-20,6.1039716040935484e-12
33.800000000000004,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113179532e-09,2.6808658130336028e-20,6.103971601372791e-12
33.9,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113179731e-09,2.680865813033721e-20,6.103971598202414e-12
34.0,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113179838e-09,2.6808658130337848e-20,6.103971596513466e-12
34.1,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113180017e-09,2.6808658130338914e-20,6.1039715928761756e-12
34.2,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113180214e-09,2.6808658130340102e-20,6.10397158972309e-12
34.300000000000004,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113180436e-09,2.6808658130341396e-20,6.1039715864143674e-12
34.400000000000006,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113180604e-09,2.6808658130342425e-20,6.103971582765552e-12
34.5,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113180695e-09,2.6808658130342952e-20,6.103971578863103e-12
34.6,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113180843e-09,2.68086581303439e-20,6.103971576050111e-12
34.7,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113181094e-09,2.680865813034541e-20,6.103971573237122e-12
34.800000000000004,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113181256e-09,2.6808658130346373e-20,6.103971569916869e-12
34.900000000000006,0.749365906940757,0.3535000002926468,1.414604262590098e-08,8.784025113181276e-09,2.680865813034651e-20,6.103971567190344e-12
